"tenure","churn","gender","marital"
13,1,"Male","Married"
11,1,"Male","Married"
68,0,"Female","Married"
33,1,"Female","Unmarried"
23,0,"Male","Married"
41,0,"Female","Unmarried"
45,1,"Female","Married"
38,0,"Male","Unmarried"
45,0,"Male","Married"
68,0,"Male","Married"
5,1,"Female","Unmarried"
7,0,"Female","Unmarried"
41,0,"Female","Married"
57,1,"Female","Married"
9,0,"Female","Unmarried"
29,0,"Male","Married"
60,0,"Male","Unmarried"
34,0,"Female","Unmarried"
1,0,"Male","Unmarried"
26,1,"Male","Married"
6,1,"Female","Unmarried"
68,0,"Male","Married"
53,0,"Female","Unmarried"
55,0,"Male","Married"
14,0,"Male","Married"
1,0,"Female","Unmarried"
42,0,"Female","Unmarried"
25,0,"Male","Married"
9,0,"Female","Married"
13,0,"Female","Married"
56,0,"Female","Married"
71,0,"Male","Married"
35,0,"Female","Married"
11,0,"Male","Married"
60,0,"Male","Married"
20,1,"Male","Married"
54,0,"Male","Unmarried"
44,0,"Male","Married"
11,1,"Female","Married"
72,0,"Female","Unmarried"
10,0,"Male","Unmarried"
15,0,"Female","Unmarried"
27,0,"Male","Married"
9,1,"Male","Married"
64,0,"Female","Married"
65,0,"Male","Married"
49,0,"Male","Married"
47,1,"Male","Married"
9,1,"Female","Married"
5,1,"Female","Unmarried"
30,1,"Male","Married"
56,0,"Male","Married"
10,0,"Male","Unmarried"
7,0,"Male","Married"
52,0,"Male","Unmarried"
36,1,"Female","Married"
27,0,"Female","Unmarried"
58,0,"Male","Married"
41,0,"Female","Unmarried"
47,0,"Female","Married"
55,1,"Female","Married"
56,0,"Female","Married"
35,0,"Male","Unmarried"
69,0,"Female","Married"
44,1,"Male","Unmarried"
36,0,"Male","Married"
28,0,"Female","Married"
72,0,"Male","Married"
16,0,"Male","Unmarried"
3,1,"Female","Unmarried"
40,0,"Male","Married"
16,0,"Female","Unmarried"
20,0,"Male","Unmarried"
48,0,"Female","Unmarried"
64,0,"Male","Married"
8,0,"Male","Unmarried"
40,1,"Male","Married"
38,0,"Male","Unmarried"
67,0,"Female","Unmarried"
26,0,"Female","Unmarried"
41,0,"Female","Married"
2,1,"Male","Unmarried"
20,1,"Male","Married"
31,0,"Female","Unmarried"
45,0,"Female","Married"
33,0,"Male","Married"
10,0,"Male","Unmarried"
62,1,"Male","Married"
4,1,"Female","Unmarried"
42,0,"Male","Married"
27,0,"Male","Married"
38,0,"Female","Unmarried"
52,0,"Female","Married"
35,0,"Female","Unmarried"
3,1,"Female","Married"
17,1,"Male","Unmarried"
55,0,"Male","Married"
43,1,"Female","Married"
47,1,"Female","Married"
65,0,"Female","Unmarried"
13,0,"Male","Unmarried"
64,0,"Female","Married"
12,1,"Male","Unmarried"
29,1,"Female","Married"
23,0,"Female","Unmarried"
14,1,"Female","Unmarried"
35,0,"Male","Unmarried"
26,0,"Female","Unmarried"
13,0,"Male","Unmarried"
69,0,"Male","Married"
61,0,"Female","Married"
45,1,"Female","Married"
3,0,"Female","Unmarried"
53,0,"Male","Unmarried"
59,0,"Female","Unmarried"
13,0,"Female","Unmarried"
31,0,"Male","Unmarried"
40,0,"Female","Married"
48,0,"Male","Unmarried"
3,1,"Male","Unmarried"
51,0,"Female","Unmarried"
33,0,"Male","Unmarried"
14,0,"Male","Married"
17,1,"Male","Married"
19,1,"Male","Married"
58,0,"Female","Unmarried"
22,0,"Female","Unmarried"
29,1,"Male","Married"
14,1,"Female","Married"
70,0,"Female","Married"
62,1,"Male","Married"
7,1,"Male","Married"
56,0,"Male","Married"
50,1,"Female","Married"
57,0,"Male","Unmarried"
2,0,"Female","Unmarried"
40,0,"Female","Unmarried"
6,0,"Male","Unmarried"
23,0,"Female","Married"
11,1,"Male","Unmarried"
29,0,"Female","Married"
42,0,"Male","Married"
20,0,"Female","Married"
72,0,"Male","Married"
2,0,"Female","Unmarried"
46,0,"Female","Unmarried"
39,0,"Male","Married"
24,1,"Female","Married"
59,0,"Female","Married"
65,0,"Male","Unmarried"
50,0,"Female","Married"
57,0,"Female","Unmarried"
61,0,"Female","Unmarried"
34,0,"Male","Unmarried"
38,0,"Male","Unmarried"
3,0,"Female","Married"
4,0,"Male","Unmarried"
15,0,"Male","Unmarried"
25,1,"Female","Married"
21,0,"Female","Unmarried"
50,0,"Female","Married"
65,0,"Female","Married"
59,0,"Male","Married"
29,0,"Female","Unmarried"
60,0,"Female","Unmarried"
71,0,"Male","Married"
38,1,"Male","Married"
16,0,"Female","Married"
7,0,"Male","Unmarried"
59,1,"Male","Unmarried"
